Service,Category of violative content,Number of measures taken at the provider's own initiative ,Number of measures taken after detection with solely automated means ,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled ,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative ,Contextual Information on Number of measures taken after detection with solely automated means ,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
ChatGPT ,Child Exploitation: Child sexual abuse material (CSAM) or other forms of child exploitation,"1,847",0,0,0,0,0,0,0,0,0,0,0,0,"1,847",0,0,,,,,,,,,,
ChatGPT ,"Deceptive Behavior and Scams: Impersonation, fraud or scam, misleading information",247,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,,,,,,,,,,
ChatGPT ,"Hate, Harassment and Spam: Hate speech or symbols, bullying and harassment, unwanted depiction of real person, privacy violating activities, spam",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,
ChatGPT ,"Other Inappropriate or Illegal Content: Unsafe or prohibited products or activities, animal harm or welfare issues, risks to public health and safety, deceptive content of political candidate or election equipment, or other violations of terms",84,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,,,,,,,,,,
ChatGPT (Shared Links),Not categorized,"242,386","242,386",0,"242,386",0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ChatGPT (Search),Intellectual Property: Copyright or trademark violations.,987,0,987,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ChatGPT (Search),"Other Inappropriate or Illegal Content: Unsafe or prohibited products or activities, animal harm or welfare issues, risks to public health and safety, deceptive content of political candidate or election equipment, or other violations of terms",744,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ChatGPT (Search),"Deceptive Behavior and Scams: Impersonation, fraud or scam, misleading information",691,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ChatGPT (Search),"Hate, Harassment and Spam: Hate speech or symbols, bullying and harassment, unwanted depiction of real person, privacy violating activities, spam",168,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ChatGPT (Search),Not categorized,66,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
GPTs / GPT Store,Child Exploitation: Child sexual abuse material (CSAM) or other forms of child exploitation,"1,023",966,0,649,0,0,379,0,0,0,0,0,0,0,0,0,,,,,,,,,,
GPTs / GPT Store,"Deceptive Behavior and Scams: Impersonation, fraud or scam, misleading information",378,280,0,33,2,0,378,0,0,0,0,0,0,0,0,0,,,,,,,,,,
GPTs / GPT Store,"Hate, Harassment and Spam: Hate speech or symbols, bullying and harassment, unwanted depiction of real person, privacy violating activities, spam",362,354,0,31,0,0,361,0,0,0,0,0,0,0,0,0,,,,,,,,,,
GPTs / GPT Store,Intellectual Property: Copyright or trademark violations.,"26,937",0,0,"2,432",16,0,"26,935",0,0,0,0,0,0,0,0,0,,,,,,,,,,
GPTs / GPT Store,"Nudity and Sexual Content: Adult nudity and sexual content, sexual exploitaiton and abuse, non-consensual or deepfake intimate imagery","1,974","1,947",0,"1,091",1,0,"1,049",0,0,0,0,0,0,0,0,0,,,,,,,,,,
GPTs / GPT Store,"Other Inappropriate or Illegal Content: Unsafe or prohibited products or activities, animal harm or welfare issues, risks to public health and safety, deceptive content of political candidate or election equipment, or other violations of terms",734,666,0,690,4,0,49,0,0,0,0,0,0,0,0,0,,,,,,,,,,
GPTs / GPT Store,"Violence and Self-Harm: Suicide and self-harm, eating disorders, terrorism, threats or incitement to violence, gender-based violence, weapons creation and procurement",2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
GPTs / GPT Store,Not categorized,"5,719","5,718",0,"2,532",23,0,"3,517",0,0,0,0,0,0,0,0,0,,,,,,,,,,
OpenAI Developer Forum,Not categorized,"1,545",0,"1,545",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
OpenAI Developer Forum,"Hate, Harassment and Spam: Hate speech or symbols, bullying and harassment, unwanted depiction of real person, privacy violating activities, spam",319,319,319,0,0,0,0,0,0,0,0,0,0,0,2,0,,,,,,,,,,
OpenAI Developer Forum,"Other Inappropriate or Illegal Content: Unsafe or prohibited products or activities, animal harm or welfare issues, risks to public health and safety, deceptive content of political candidate or election equipment, or other violations of terms",417,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
