Service,Category of illegal content,Number of notices received ,Number of specific items of information included in the total number of notices,Median time to take action,Number of actions taken on the basis of the law,Number of actions taken on the basis of the terms and conditions of the service,Contextual information on Number of notices received ,Contextual information on Number of specific items of information included in the total number of notices,Contextual information on Median time to take action,Contextual information on Number of actions taken on the basis of the law,Contextual information on Number of actions taken on the basis of the terms and conditions of the service
ChatGPT,Intellectual Property: Copyright or trademark violations.,42,42,,0,0,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
ChatGPT,"Hate, Harassment and Spam: Hate speech or symbols, bullying and harassment, unwanted depiction of real person, privacy violating activities, spam",21,21,,0,0,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
ChatGPT,"Violence and Self-Harm: Suicide and self-harm, eating disorders, terrorism, threats or incitement to violence, gender-based violence, weapons creation and procurement",7,7,,0,0,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
ChatGPT,"Deceptive Behavior and Scams: Impersonation, fraud or scam, misleading information",4,4,,0,0,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
ChatGPT,"Nudity and Sexual Content: Adult nudity and sexual content, sexual exploitaiton and abuse, non-consensual or deepfake intimate imagery",1,1,,0,0,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
ChatGPT,Child Exploitation: Child sexual abuse material (CSAM) or other forms of child exploitation,1,1,,0,0,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
ChatGPT,"Other Inappropriate or Illegal Content: Unsafe or prohibited products or activities, animal harm or welfare issues, risks to public health and safety, deceptive content of political candidate or election equipment, or other violations of terms",12,12,,0,0,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
OpenAI Developer Forum,Intellectual Property: Copyright or trademark violations.,1,1,,0,0,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
OpenAI Developer Forum,"Nudity and Sexual Content: Adult nudity and sexual content, sexual exploitaiton and abuse, non-consensual or deepfake intimate imagery",1,1,,0,0,,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
OpenAI Developer Forum,Not Categorized,"3,275","3,275",,0,"1,545",,,Median time to take action is not currently available. OpenAI plans to provide this information for future periods.,,
